Latitude,Longitude,Idw_pH1,Idw_WS1,Temp1_1,Class
9.8407,98.4268,7.6633,8.8111,29.5102,5
9.8222,98.4294,7.6633,8.8111,29.5105,5
9.7859,98.4108,7.6538,8.4209,29.5107,5
9.7347,98.3725,7.6466,8.1204,29.5297,5
9.7331,98.4366,7.6482,8.0303,29.5296,5
9.6952,98.3972,7.6445,7.7222,29.5297,5
9.5721,98.3898,7.6318,7.3870,29.5300,4
8.0137,98.4500,7.7269,11.7546,29.6010,4
8.5905,97.6337,7.7303,12.0001,29.5000,5
8.1027,98.3988,7.7288,11.9079,29.5719,5
7.7419,98.3728,7.7086,10.2915,29.7376,4
8.0941,98.4569,7.7294,11.9492,29.5608,5
8.1847,98.3248,7.7312,12.0063,29.5600,5
8.0471,98.4637,7.7288,11.9040,29.7851,4
8.0539,98.4718,7.7288,11.9040,29.6444,4
8.0628,98.4599,7.7288,11.9040,29.5752,4
8.0318,98.4580,7.7269,11.7546,29.5958,4
7.9630,98.4499,7.7204,11.2328,30.0353,4
7.9557,98.4496,7.7204,11.2328,30.0353,4
7.8346,98.4218,7.7055,10.0381,30.0953,4
7.8305,98.4128,7.7055,10.0381,29.9058,4
8.1536,98.4436,7.7294,11.9552,29.5621,5
7.8040,98.4138,7.7281,11.8455,29.7564,4
7.8006,98.4041,7.7281,11.8455,29.7564,4
8.0942,98.4569,7.7294,11.9492,29.5608,5
7.7572,98.3350,7.7145,10.7575,29.8958,4
7.7550,98.3293,7.7145,10.7575,29.8404,4
7.8579,98.9517,7.6603,7.6111,29.6365,4
7.8326,98.9435,7.6603,7.6111,29.6812,4
7.9020,98.9693,7.7483,8.7592,29.6146,4
8.0231,98.8593,7.6951,8.0139,29.6046,4
9.5617,98.4709,7.6203,7.0109,29.5298,4
8.1038,98.6829,7.6245,7.0897,29.5812,4
8.1021,98.6920,7.6245,7.0897,29.5993,4
10.2705,99.2344,7.6758,11.8005,29.3914,2
10.2518,99.2557,7.6501,11.8605,29.3962,2
10.2071,99.2495,7.6832,11.7502,29.4686,4
10.2001,99.2476,7.6832,11.7502,29.4620,4
9.7990,100.0058,8.1361,13.7898,29.5070,4
9.7659,100.0762,8.1467,13.8726,29.5068,4
9.5901,100.0445,8.0773,14.4137,29.4828,5
8.3961,100.7310,7.8201,9.0100,29.5194,2
9.4068,97.8710,7.7423,10.8431,29.5200,5
